time,kn,pressure,force,mass_0,mass_1,volumeLoading,massFlow_0,massFlow_1,massFlux_0,massFlux_1,regression_0,regression_1,web_0,web_1,exitPressure,dThroat,machNumber_0,machNumber_1
0.0,276.37292501829614,2832547.759461576,0.0,2.429825568010856,1.2611637368753958,63.29311167913434,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.019900725688241343,0.0,0.0,0.0,0.0
0.03,269.0470238340405,2712052.6144877495,1517.5686431382717,2.429825568010856,1.2611637368753958,62.80693041372219,0.0,0.0,160.88180999803208,136.59510654325598,0.00012831666828063925,0.00012831666828063925,0.024871683331719362,0.019772409019960704,1504996.5435443202,0.0,0.050779483549834685,0.043096334009663916
0.06,267.1612302265251,2681360.0665068403,1499.8688057046681,2.4190041673110545,1.243633081509926,62.33029538923216,0.36071335666004367,0.9450685355090417,157.13816696171497,219.34907626262594,0.0002545201239623284,0.0002545201239623284,0.024745479876037674,0.019646205564279016,1487964.31216266,0.0,0.050163844821822304,0.07011823995081982
0.09,265.94353953455783,2661612.315169808,1488.4806345902305,2.4083361330841235,1.2265057564780875,61.857543770641655,0.3556011408976989,0.9265119752923139,155.38049112835506,214.13888451957456,0.0003801760661600812,0.0003801760661600812,0.02461982393383992,0.019520549622081263,1477005.737280907,0.0,0.049970216103161554,0.06895433165980362
0.12,264.8690948180383,2644233.984625663,1478.4588656028495,2.3976900233287335,1.2095829709494041,61.388225588353016,0.3548703251796681,0.9189631761357786,153.8838399537421,210.1752780075906,0.0005054776847763062,0.0005054776847763062,0.024494522315223696,0.019395248003465038,1467361.975898721,0.0,0.04981370603126926,0.06811842347895847
0.15,263.75741206393684,2626299.166768181,1468.1161804443489,2.3870498549056305,1.1928544677199318,60.92244246918857,0.3546722807701001,0.9122890550858465,152.45745971150748,206.37212109059416,0.0006304661466869476,0.0006304661466869476,0.024369533853313054,0.019270259541554396,1457409.4499275375,0.0,0.04968864633908789,0.06733856867602585
0.18,262.6311324768288,2608176.4452628964,1457.6651346498613,2.376412446145829,1.1763293549094866,60.4604475907542,0.3545802919933857,0.9054173856748894,151.03650363821117,202.59459073334003,0.0007551300874778654,0.0007551300874778654,0.024244869912522136,0.01914559560076348,1447352.6274694747,0.0,0.049567235104972504,0.06656141089589429
0.21,261.41812164169585,2588711.812178673,1446.4402327124342,2.365779067375841,1.1600211264496365,60.002404787120156,0.3544459589995904,0.8980535743279284,149.62880850998528,198.84300504580918,0.0008794647129545376,0.0008794647129545376,0.024120535287045462,0.019021260975286804,1436551.1199859271,0.0,0.04947422522957005,0.06581640780455754
0.24,260.3791612675823,2572084.407093079,1436.851508858659,2.35515043289437,1.143938622158786,59.548628393172585,0.35428781604903337,0.8903712924107189,148.20906454362748,195.06972137589696,0.001003444059791337,0.001003444059791337,0.023996555940208664,0.018897281628450006,1427324.0866850277,0.0,0.04932116725382678,0.06498087074102
0.27,259.5529636637191,2558891.2671779236,1429.2432636298083,2.3445290737352984,1.1280976416976922,59.100588441824755,0.35404530530239364,0.8820779873388511,146.86774667482973,190.71418762454633,0.0011271186047980238,0.0011271186047980238,0.023872881395201977,0.01877360708344332,1420002.8367157911,0.0,0.04912626088123787,0.06385230050089646
0.30000000000000004,258.5771286960137,2543342.04861191,1420.2763104459546,2.3339109678539645,1.1125879332764188,58.651173139329146,0.35393686271113134,0.8709271434202452,145.61652055079557,189.4962484989313,0.0012505504349578564,0.0012505504349578564,0.023749449565042144,0.018650175253283486,1411374.1414475203,0.0,0.04900519111551367,0.0638323158154226
0.33000000000000007,257.58517929186826,2527573.1905418723,1411.1826951316825,2.3232910537370697,1.0969998283694944,58.20810866472051,0.353997137229826,0.8736006341273066,144.32945457547348,185.09792116717546,0.001373695210435549,0.001373695210435549,0.023626304789564453,0.018527030477805795,1402623.545005495,0.0,0.0488747243058633,0.06273481763665614
0.3600000000000001,256.5695282514611,2511466.3973578275,1401.894198747753,2.3126734085186342,1.0817798082595773,57.7672373908418,0.35392150728118155,0.8612555109450841,143.05284358815763,182.53348988954318,0.0014965477666457172,0.0014965477666457172,0.023503452233354285,0.018404177921595627,1393685.434019075,0.0,0.048752771112046796,0.062260347939528726
0.3900000000000001,255.54062402706518,2495189.564892045,1392.50764378472,2.302058751312687,1.0666846984221958,57.32953121311638,0.35382190686491144,0.8569922347776279,141.78394201322934,179.624873461099,0.0016191006756940966,0.0016191006756940966,0.023380899324305905,0.018281625012547247,1384652.9315281708,0.0,0.04863522040430795,0.06166536177915208
0.42000000000000015,254.6313715289652,2480839.2459245366,1384.232074320652,2.291447999102713,1.0517702587462454,56.89388626435772,0.35369174033246986,0.8508397295308168,140.52615459419096,177.23596402065894,0.0017413495652581503,0.0017413495652581503,0.023258650434741852,0.018159376122983194,1376689.4875656276,0.0,0.048482197476267516,0.061195216851257096
0.4500000000000002,253.67572348111344,2465790.790285459,1375.5539020618962,2.2808418067555998,1.036971461451713,56.45978296935357,0.35353974490376733,0.8468329880548502,139.32388763447273,175.08409245069944,0.0018633294006063978,0.0018633294006063978,0.023136670599393602,0.018037396287634944,1368338.6948515745,0.0,0.0483604391663332,0.06081959476098768
0.4800000000000002,252.61343186944706,2449104.113406733,1365.9309972367828,2.270237406850388,1.0222607745083123,56.02976936344899,0.35347999684039644,0.8438362282870834,138.1205792256884,171.97694475289381,0.0019850260572158995,0.0019850260572158995,0.023014973942784102,0.017915699631025444,1359078.769207906,0.0,0.04826917403501989,0.06014452523127441
